CNTYVTD,VTDKEY,MillerR_18G_Ag Comm,OlsonD_18G_Ag Comm,CarpenterL_18G_Ag Comm
"1131130",2101,148,548,20
"1131131",2102,155,527,21
"1131132",2103,5,14,0
"1131133",2104,96,130,8
"1131134",2105,11,171,4
"1131135",2106,59,555,12
"1131136",2107,0,1,1
"1131137",2108,8,11,0
"1131138",2109,0,0,0
"1131139",2110,3,2,0
"1131140",2111,0,0,0
"1131141",2112,0,0,0
"1131300",2113,554,706,32
"1131301",2114,535,745,25
"1131302",2115,428,780,14
"1131303",2116,2,38,1
"1131304",2117,334,434,16
"1131305",2118,283,429,19
"1131307",2119,2,66,0
"1131308A",2120,317,523,14
"1131308B",2121,0,0,0
"1131309",2122,8,115,1
"1131310",2123,549,792,36
"1131311",2124,611,660,34
"1131312",2125,200,261,18
"1131313",2126,23,150,3
"1131314",2127,309,718,23
"1131315",2128,5,2,1
"1131316",2129,81,249,6
"1131317",2130,0,0,0
"1131500",2131,410,842,44
"1131501",2132,581,802,39
"1131502",2133,683,1348,51
"1131503",2134,332,976,25
"1131504",2135,588,727,27
"1131700",2136,340,636,28
"1131701",2137,403,549,20
"1131702",2138,520,849,38
"1131703",2139,419,871,53
"1131704",2140,245,443,15
"1131705",2141,375,633,28
"1131706",2142,432,870,30
"1131707",2143,43,154,3
"1131708",2144,114,189,9
"1131709",2145,353,1301,35
"1131710",2146,67,576,15
"1131711",2147,312,651,29
"1131712",2148,563,546,32
"1131713",2149,303,245,19
"1131714",2150,431,534,33
"1131715",2151,185,503,20
"1131716",2152,817,549,33
"1131717",2153,638,1027,40
"1131718",2154,454,399,20
"1131719",2155,460,863,34
"1131720",2156,634,874,38
"1131721",2157,620,629,36
"1131722",2158,460,938,41
"1131723",2159,23,59,3
"1131724",2160,11,42,0
"1131725",2161,201,124,8
"1131726",2162,438,546,25
"1131727",2163,44,70,5
"1131728",2164,299,392,26
"1131729",2165,220,496,13
"1131730",2166,0,0,0
"1131731",2167,0,0,0
"1132000",2168,1,0,0
"1132001",2169,3,11,0
"1132002",2170,351,465,24
"1132003",2171,996,929,39
"1132004",2172,698,532,24
"1132005",2173,308,371,22
"1132006",2174,601,473,16
"1132007",2175,1254,868,38
"1132008",2176,625,472,15
"1132009",2177,655,763,36
"1132010",2178,489,506,24
"1132011",2179,808,613,31
"1132012",2180,600,576,25
"1132013",2181,534,343,21
"1132014",2182,253,119,6
"1132015",2183,327,358,15
"1132016",2184,1423,992,32
"1132017",2185,298,568,29
"1132018",2186,352,254,18
"1132019",2187,682,570,17
"1132020",2188,726,992,45
"1132021",2189,1614,985,39
"1132022",2190,276,237,7
"1132023",2191,440,444,11
"1132024",2192,499,535,16
"1132025",2193,1120,727,25
"1132026",2194,1404,698,30
"1132027",2195,735,426,20
"1132028",2196,0,0,0
"1132029",2197,819,393,17
"1132030",2198,1000,358,17
"1132031",2199,761,1346,80
"1132032",2200,380,691,56
"1132033",2201,551,739,38
"1132034",2202,633,464,25
"1132035",2203,383,585,26
"1132036",2204,847,791,46
"1132037",2205,298,335,20
"1132038",2206,886,1279,55
"1132039",2207,716,1135,52
"1132040",2208,577,606,35
"1132041",2209,1637,1178,70
"1132042",2210,951,1137,34
"1132043",2211,695,799,42
"1132044",2212,332,349,21
"1132045",2213,587,732,21
"1132046",2214,725,573,24
"1132047",2215,833,765,54
"1132048",2216,834,1321,60
"1132049",2217,505,569,22
"1132050",2218,529,544,34
"1132051",2219,886,821,34
"1132052",2220,643,357,20
"1132053",2221,361,904,37
"1132054",2222,343,985,36
"1132055",2223,188,472,16
"1132056",2224,543,384,14
"1132057",2225,209,160,6
"1132058",2226,338,394,22
"1132059",2227,469,364,18
"1132060",2228,1091,756,46
"1132061",2229,988,943,60
"1132062",2230,770,730,50
"1132063",2231,298,227,12
"1132064",2232,573,720,51
"1132065",2233,637,1055,41
"1132066",2234,630,456,19
"1132067",2235,401,522,17
"1132068",2236,581,974,48
"1132069",2237,918,1123,57
"1132070",2238,460,497,22
"1132071",2239,713,724,28
"1132072",2240,864,1159,57
"1132073",2241,262,460,28
"1132074",2242,71,180,11
"1132076",2243,0,0,0
"1132077",2244,429,436,15
"1132078",2245,0,0,0
"1132079",2246,181,702,30
"1132200",2247,941,393,32
"1132201",2248,855,396,26
"1132202",2249,935,411,24
"1132203",2250,713,386,26
"1132220",2251,989,271,15
"1132221",2252,1820,614,30
"1132222",2253,1519,529,43
"1132223",2254,692,414,20
"1132224",2255,549,581,38
"1132225",2256,799,384,15
"1132226",2257,1304,563,39
"1132300",2258,247,514,27
"1132301",2259,935,631,42
"1132302",2260,197,657,23
"1132303",2261,622,828,43
"1132305",2262,986,1134,71
"1132306",2263,382,448,19
"1132307",2264,197,227,13
"1132308",2265,55,117,4
"1132309",2266,159,324,22
"1132310",2267,710,632,42
"1132311",2268,67,137,7
"1132312",2269,4,24,1
"1132400",2270,67,19,5
"1132401",2271,1049,1051,49
"1132402",2272,807,1005,46
"1132403",2273,2,0,0
"1132404",2274,387,647,35
"1132405",2275,1148,1046,57
"1132406",2276,742,1111,61
"1132407",2277,832,1227,64
"1132408",2278,263,502,31
"1132409",2279,336,795,31
"1132410",2280,323,581,23
"1132411",2281,86,259,6
"1132500",2282,653,987,52
"1132501",2283,553,407,32
"1132502",2284,859,470,32
"1132503",2285,1150,747,37
"1132504",2286,428,414,32
"1132505",2287,719,998,69
"1132506",2288,762,706,52
"1132507",2289,773,694,45
"1132508",2290,600,1092,59
"1132509",2291,1013,914,53
"1132510",2292,453,583,34
"1132511",2293,611,628,33
"1132512",2294,451,469,28
"1132513",2295,676,955,50
"1132514",2296,797,831,46
"1132601",2297,324,760,25
"1132602",2298,477,1135,35
"1132603",2299,543,1242,39
"1132604",2300,496,1092,55
"1132605",2301,368,1061,20
"1132606",2302,0,0,0
"1132700",2303,774,1089,59
"1132701",2304,1269,1244,66
"1132702",2305,1990,1218,52
"1132703",2306,236,363,18
"1132704",2307,614,1098,57
"1132705",2308,369,704,35
"1132706",2309,780,765,33
"1132707",2310,774,957,62
"1132708",2311,1272,1276,71
"1132709",2312,419,343,21
"1132710",2313,609,752,39
"1132711",2314,622,754,31
"1132712",2315,835,1329,49
"1132713",2316,776,426,19
"1132714",2317,1083,1443,52
"1132715",2318,692,888,40
"1132716",2319,316,521,26
"1132717A",2320,2,0,0
"1132717B",2321,0,0,0
"1132717C",2322,0,0,0
"1132800",2323,0,0,0
"1132801",2324,1203,940,74
"1132802",2325,1552,1207,83
"1132803",2326,580,340,22
"1132804",2327,834,677,41
"1132805",2328,1357,1273,56
"1132806",2329,847,740,38
"1132807A",2330,766,716,49
"1132807B",2331,0,0,0
"1132808",2332,1000,856,43
"1132809",2333,734,929,48
"1132810A",2334,10,4,0
"1132810B",2335,0,0,0
"1132900",2336,985,892,48
"1132901",2337,213,554,32
"1132902",2338,355,742,40
"1132903",2339,481,750,52
"1132904",2340,2,1,0
"1132905",2341,217,123,5
"1132910",2342,14,10,0
"1132911",2343,64,76,2
"1132920",2344,976,1012,48
"1132921",2345,1351,1159,39
"1132922",2346,1744,1497,77
"1132923",2347,1036,920,78
"1132924",2348,568,576,26
"1132925",2349,1244,728,51
"1132926",2350,582,548,45
"1132927",2351,1537,1517,66
"1132928",2352,1272,600,30
"1132929",2353,399,349,20
"1132940",2354,657,284,21
"1132941",2355,1576,1098,74
"1132942",2356,1680,1095,73
"1133000",2357,863,1203,64
"1133001",2358,12,172,4
"1133002",2359,51,581,13
"1133003",2360,96,896,19
"1133004",2361,184,1015,34
"1133005",2362,88,164,9
"1133006",2363,1038,1080,54
"1133007",2364,350,376,22
"1133008",2365,934,2632,128
"1133009",2366,396,1074,76
"1133010",2367,101,107,4
"1133011",2368,130,691,35
"1133012",2369,12,50,1
"1133013",2370,58,224,10
"1133014",2371,261,504,19
"1133015",2372,42,60,5
"1133016A",2373,130,691,40
"1133016B",2374,0,0,0
"1133017",2375,15,273,8
"1133018",2376,25,675,10
"1133019",2377,9,255,2
"1133020",2378,11,106,9
"1133021",2379,9,314,5
"1133022",2380,15,538,7
"1133023",2381,6,497,8
"1133024",2382,17,528,2
"1133025",2383,3,48,4
"1133026",2384,7,278,3
"1133027",2385,12,506,2
"1133028",2386,9,407,7
"1133029",2387,8,299,4
"1133030",2388,3,6,0
"1133031",2389,60,192,11
"1133032",2390,41,453,20
"1133033",2391,6,132,3
"1133034",2392,16,542,12
"1133035",2393,22,499,8
"1133036",2394,4,1,0
"1133037",2395,8,160,5
"1133038",2396,6,391,3
"1133039",2397,27,926,14
"1133040",2398,16,412,7
"1133041",2399,3,40,0
"1133042",2400,15,539,3
"1133043",2401,17,700,10
"1133044",2402,30,875,7
"1133045",2403,12,246,2
"1133046",2404,135,1029,43
"1133047",2405,215,524,20
"1133048",2406,28,1100,9
"1133049",2407,24,810,14
"1133050",2408,26,673,12
"1133051",2409,11,318,4
"1133052",2410,30,906,13
"1133053",2411,59,899,21
"1133054",2412,64,1413,16
"1133055",2413,105,1313,31
"1133056",2414,64,1290,26
"1133057",2415,71,1153,27
"1133058",2416,28,1049,11
"1133059",2417,10,676,3
"1133060",2418,14,713,11
"1133061",2419,10,535,8
"1133062",2420,31,914,8
"1133063",2421,71,1557,23
"1133064",2422,30,1252,10
"1133065",2423,30,1016,10
"1133066",2424,30,795,12
"1133067",2425,36,885,5
"1133068",2426,64,1614,28
"1133069",2427,19,708,11
"1133070",2428,36,1300,15
"1133071",2429,29,1083,17
"1133072",2430,3,18,0
"1133073",2431,3,67,1
"1133074",2432,34,226,9
"1133075",2433,9,74,2
"1133076",2434,0,0,0
"1133077",2435,336,1463,50
"1133078",2436,171,1064,41
"1133079",2437,81,161,6
"1133080",2438,146,375,12
"1133081",2439,376,580,25
"1133082",2440,65,928,10
"1133083",2441,158,450,22
"1133084",2442,113,570,22
"1133086",2443,804,1175,68
"1133087",2444,0,0,0
"1133088",2445,9,24,0
"1133089",2446,6,10,0
"1133090",2447,192,673,33
"1133091",2448,0,0,0
"1133092",2449,31,658,7
"1133093",2450,0,9,0
"1133094",2451,0,0,0
"1133095",2452,0,0,0
"1133096",2453,0,0,0
"1133097",2454,0,76,1
"1133098",2455,2,102,1
"1133099",2456,7,117,3
"1133100",2457,305,1018,24
"1133101",2458,126,354,10
"1133102",2459,228,1209,29
"1133103",2460,281,1484,31
"1133104",2461,562,2253,41
"1133105",2462,409,1050,38
"1133106",2463,298,1623,36
"1133107",2464,174,1268,27
"1133108",2465,622,742,44
"1133109",2466,993,1194,53
"1133110",2467,234,1479,24
"1133111",2468,4,20,1
"1133112",2469,5,10,1
"1133113",2470,0,4,0
"1133114",2471,0,0,0
"1133200",2472,651,769,30
"1133201",2473,462,582,14
"1133202",2474,287,963,24
"1133203",2475,344,847,21
"1133204",2476,451,871,36
"1133205",2477,95,866,10
"1133206",2478,671,815,36
"1133207",2479,582,883,41
"1133208",2480,309,636,23
"1133209",2481,67,52,1
"1133210",2482,436,679,40
"1133211",2483,138,444,18
"1133300",2484,747,791,40
"1133301",2485,770,756,31
"1133302",2486,355,446,20
"1133303",2487,411,939,31
"1133304",2488,686,791,41
"1133305",2489,942,1208,48
"1133306",2490,294,450,18
"1133307",2491,306,574,17
"1133308",2492,359,555,24
"1133309",2493,512,661,19
"1133310",2494,597,643,33
"1133311",2495,570,592,26
"1133312",2496,739,1071,33
"1133313",2497,866,1995,53
"1133314",2498,618,1499,27
"1133315",2499,231,427,23
"1133316",2500,612,875,28
"1133317",2501,282,681,20
"1133318",2502,327,554,12
"1133400",2503,51,255,5
"1133401",2504,1,1,0
"1133402",2505,44,133,1
"1133404",2506,260,662,28
"1133405",2507,387,969,22
"1133406",2508,13,3,1
"1133407",2509,84,89,4
"1133408",2510,209,650,14
"1133409",2511,85,184,10
"1133410",2512,39,97,1
"1133411",2513,1,1,0
"1133500",2514,2080,1021,52
"1133501",2515,5,1,0
"1133600",2516,233,1031,16
"1133601",2517,267,1087,14
"1133602",2518,79,349,5
"1133603",2519,52,144,3
"1133604",2520,322,1347,21
"1133605",2521,254,1423,31
"1133606",2522,127,1298,16
"1133607",2523,276,2333,31
"1133608",2524,107,1707,25
"1133609",2525,302,1570,36
"1133610",2526,89,225,5
"1133611",2527,183,475,14
"1133612",2528,229,1649,28
"1133613",2529,103,271,5
"1133614",2530,52,426,11
"1133615",2531,135,1295,15
"1133616",2532,37,321,4
"1133617",2533,80,1320,15
"1133618",2534,23,208,2
"1133619",2535,29,68,2
"1133620",2536,71,601,7
"1133621",2537,0,0,0
"1133700",2538,815,1399,47
"1133701",2539,917,1268,55
"1133702",2540,561,746,24
"1133703",2541,21,8,3
"1133800",2542,118,2268,38
"1133801",2543,27,143,3
"1133802",2544,204,1910,31
"1133803",2545,139,1767,20
"1133805",2546,125,2483,41
"1133806",2547,26,491,8
"1133807",2548,171,1128,18
"1133808",2549,661,1494,35
"1133809",2550,42,142,2
"1133900",2551,420,2590,50
"1133920",2552,676,485,27
"1133921",2553,928,1081,44
"1133922",2554,5,33,1
"1133940A",2555,266,642,25
"1133940B",2556,0,0,0
"1133950",2557,188,677,21
"1134000",2558,51,150,4
"1134001",2559,106,474,14
"1134002",2560,238,387,26
"1134003A",2561,13,102,6
"1134003B",2562,0,0,0
"1134004",2563,220,655,27
"1134005",2564,162,330,14
"1134006A",2565,256,509,15
"1134006B",2566,0,0,0
"1134007",2567,57,73,3
"1134008",2568,25,192,11
"1134009A",2569,74,613,21
"1134009B",2570,0,0,0
"1134010",2571,296,521,17
"1134011",2572,87,333,7
"1134012",2573,18,30,0
"1134013",2574,109,117,5
"1134014",2575,695,597,24
"1134015",2576,158,756,22
"1134016",2577,189,810,25
"1134017",2578,84,200,5
"1134018",2579,269,461,23
"1134019",2580,208,1089,38
"1134020",2581,90,411,10
"1134021",2582,374,2066,59
"1134022",2583,205,1261,40
"1134023",2584,1,0,0
"1134024",2585,82,724,12
"1134025",2586,4,130,1
"1134026",2587,3,57,3
"1134027",2588,15,107,4
"1134028",2589,16,360,7
"1134029",2590,1,2,0
"1134030",2591,1,24,2
"1134031",2592,50,776,16
"1134032",2593,386,1443,44
"1134033",2594,279,871,37
"1134035",2595,73,522,24
"1134036",2596,22,323,9
"1134037",2597,14,77,2
"1134038",2598,75,908,20
"1134039",2599,6,231,1
"1134040",2600,12,294,4
"1134041",2601,14,298,6
"1134043",2602,50,551,11
"1134044",2603,19,420,8
"1134046",2604,23,457,7
"1134047",2605,13,333,9
"1134048",2606,10,2,0
"1134049",2607,0,0,0
"1134050",2608,503,1811,42
"1134051",2609,0,0,0
"1134052",2610,503,1757,67
"1134053",2611,38,166,7
"1134054",2612,24,174,6
"1134055",2613,193,918,29
"1134056",2614,119,1014,21
"1134057",2615,107,637,15
"1134058",2616,56,396,10
"1134059",2617,19,161,6
"1134060",2618,119,806,21
"1134061",2619,150,847,16
"1134062",2620,111,660,24
"1134063",2621,206,1238,49
"1134065",2622,70,350,19
"1134066",2623,72,335,12
"1134067",2624,138,756,24
"1134068",2625,124,723,30
"1134069",2626,216,1173,37
"1134070",2627,77,595,25
"1134071",2628,15,155,4
"1134072",2629,13,99,2
"1134073",2630,163,711,25
"1134074",2631,271,1314,37
"1134075",2632,65,375,16
"1134076",2633,194,975,31
"1134077",2634,87,508,12
"1134078",2635,120,699,24
"1134079",2636,657,2071,63
"1134080",2637,175,307,23
"1134081",2638,163,1107,36
"1134082",2639,50,368,5
"1134083",2640,97,505,16
"1134084",2641,22,227,7
"1134085",2642,52,359,15
"1134086",2643,153,967,21
"1134087",2644,54,312,3
"1134088",2645,11,135,4
"1134090",2646,11,18,3
"1134091A",2647,0,0,0
"1134091B",2648,0,0,0
"1134091C",2649,0,0,0
"1134092",2650,34,64,3
"1134093",2651,1,27,3
"1134094",2652,85,200,7
"1134095",2653,9,19,0
"1134096",2654,3,2,0
"1134097A",2655,131,395,16
"1134097B",2656,0,0,0
"1134098",2657,12,21,1
"1134099",2658,379,311,15
"1134100",2659,3,12,0
"1134101",2660,3,31,3
"1134102",2661,77,104,4
"1134103",2662,17,71,4
"1134104",2663,3,8,1
"1134105",2664,1,7,0
"1134106",2665,42,55,3
"1134107",2666,0,25,1
"1134108",2667,0,22,1
"1134109",2668,1,18,0
"1134110",2669,15,383,5
"1134111",2670,28,98,3
"1134112",2671,43,16,1
"1134113",2672,131,737,25
"1134114",2673,83,622,19
"1134115",2674,72,158,5
"1134116",2675,0,0,0
"1134117",2676,3,11,0
"1134118",2677,1,6,0
"1134119",2678,1,1,0
"1134120",2679,20,200,10
"1134121",2680,0,0,0
"1134122",2681,0,0,0
"1134123",2682,0,0,0
"1134124",2683,0,0,0
"1134125",2684,0,0,0
"1134300",2685,129,518,18
"1134500",2686,491,828,30
"1134501",2687,491,716,26
"1134502",2688,642,1248,52
"1134503",2689,574,1580,41
"1134504",2690,263,444,16
"1134505",2691,393,605,28
"1134506",2692,262,395,14
"1134507",2693,41,411,11
"1134508",2694,82,179,12
"1134509",2695,387,345,20
"1134510",2696,283,590,28
"1134511",2697,292,452,33
"1134512",2698,293,288,21
"1134513",2699,310,708,27
"1134514",2700,321,325,24
"1134515",2701,208,593,26
"1134516",2702,4,8,0
"1134517",2703,1021,795,40
"1134518",2704,329,553,26
"1134519",2705,741,1126,42
"1134520",2706,103,305,10
"1134521",2707,961,1261,55
"1134522",2708,577,1107,46
"1134523",2709,113,212,4
"1134525",2710,201,440,18
"1134527",2711,171,475,21
"1134528",2712,0,0,0
"1134529",2713,164,256,8
"1134530",2714,12,85,4
"1134531",2715,160,127,5
"1134532",2716,59,79,5
"1134533",2717,157,358,11
"1134534",2718,7,34,0
"1134535",2719,93,250,12
"1134536",2720,7,16,2
"1134537",2721,2,3,0
"1134538",2722,102,284,11
"1134539",2723,0,0,0
"1134540",2724,0,0,0
"1134541",2725,0,0,0
"1134542",2726,0,0,0
"1134600",2727,590,619,28
"1134601",2728,972,981,58
"1134602",2729,452,571,17
"1134603",2730,7,16,0
"1134604",2731,616,792,37
"1134605",2732,534,664,38
"1134606",2733,591,795,46
"1134607",2734,264,513,21
"1134608A",2735,556,1056,42
"1134608B",2736,0,0,0
"1134609",2737,188,631,18
"1134610",2738,593,616,34
"1134611",2739,346,469,20
"1134612",2740,93,87,6
"1134613",2741,73,237,7
"1134614",2742,197,103,7
"1134615",2743,37,75,2
"1134616",2744,192,337,19
"1134617",2745,50,51,3
"1134618",2746,103,148,6
"1134619",2747,417,329,22
"1134620",2748,393,465,33
"1134621",2749,367,1419,52
"1134622",2750,388,646,28
"1134623",2751,431,774,23
"1134624",2752,411,473,24
"1134625",2753,612,600,34
"1134626",2754,810,736,53
"1134627A",2755,960,1410,63
"1134627B",2756,0,0,0
"1134628",2757,167,687,16
"1134629",2758,187,418,19
"1134630",2759,419,456,22
"1134631",2760,355,380,18
"1134632",2761,224,682,15
"1134633",2762,117,280,15
"1134634",2763,799,954,39
"1134635",2764,207,578,23
"1134636",2765,0,6,0
"1134637",2766,661,1271,46
"1134639",2767,81,210,11
"1134640",2768,335,928,39
"1134641",2769,113,167,3
"1134642",2770,29,43,1
"1134644",2771,30,131,3
"1134645",2772,3,2,0
"1134646",2773,100,115,10
"1134647",2774,998,1125,53
"1134648",2775,207,676,29
"1134649",2776,7,39,0
"1134651",2777,5,16,1
"1134652",2778,108,260,7
"1134653",2779,7,16,0
"1134654",2780,194,317,15
"1134655",2781,32,7,0
"1134656",2782,11,41,2
"1134657",2783,6,31,1
"1134658",2784,16,23,0
"1134659",2785,38,89,4
"1134660",2786,9,15,1
"1134661",2787,103,287,9
"1134662",2788,36,82,0
"1134663",2789,0,0,0
"1134664",2790,402,622,33
"1150001",2791,357,152,6
"1150002",2792,408,203,14
"1150003",2793,599,188,10
"1150004",2794,524,166,16
"1150005",2795,71,16,1
"1150011",2796,65,11,0
"1150012",2797,26,4,2
"1150013",2798,53,5,1
"1150017",2799,42,6,0
"1170001",2800,413,194,11
"1170002",2801,412,252,12
"1170003",2802,1324,331,32
"1170004",2803,456,270,20
"1190001",2804,382,61,8
"1190003",2805,157,56,3
"1190004",2806,226,52,8
"1190005",2807,329,80,11
"1190007",2808,116,25,5
"1190009",2809,150,17,1
"1190010",2810,167,61,4
"1211000",2811,1419,272,32
"1211001",2812,673,181,19
"1211002",2813,473,160,18
"1211003",2814,1515,380,27
"1211004",2815,1208,963,66
"1211005",2816,1116,293,29
"1211006",2817,1385,962,92
"1211007",2818,1393,1087,70
"1211008",2819,617,176,33
"1211009",2820,657,745,50
"1211010",2821,839,674,52
"1211011",2822,614,958,55
"1211012",2823,841,959,59
"1211013",2824,794,734,56
"1211014",2825,30,95,7
"1211015",2826,968,759,52
"1211016",2827,1090,728,51
"1211017",2828,544,325,19
"1211018",2829,1573,1229,89
"1211019",2830,710,741,41
"1211020",2831,1816,843,80
"1211021",2832,1259,680,54
"1211022",2833,1186,738,52
"1211023",2834,1377,706,48
"1211024",2835,1009,360,32
"1211025",2836,1480,758,58
"1211026",2837,973,1475,76
"1211027",2838,188,225,5
"1211028",2839,568,696,37
"1211029",2840,1125,994,42
"1211030",2841,1681,938,67
"1211031",2842,945,565,35
"1211032",2843,1972,1474,78
"1211033",2844,852,871,37
"1211034",2845,1488,1116,54
"1211035",2846,1213,709,33
"1211036",2847,1910,941,36
"1211037",2848,328,116,15
"1211038",2849,72,105,10
"1211039",2850,4,0,0
"1211040",2851,1067,575,32
"1211041",2852,676,719,50
"1211042",2853,86,9,0
"1211043",2854,92,42,2
"1211044",2855,1172,976,51
"1211045",2856,770,149,19
"1211046",2857,1229,1028,73
"1211047",2858,209,133,13
"1211048",2859,335,100,16
"1211049",2860,53,77,2
"1211050",2861,806,545,33
"1211051",2862,832,475,20
"1211052",2863,920,704,28
"1211053",2864,1335,447,38
"1211054",2865,223,343,15
"1211055",2866,365,321,13
"1211056",2867,496,297,14
"1211057",2868,819,412,17
"1212000",2869,439,1284,51
"1212001",2870,461,1273,49
"1212002",2871,745,1575,72
"1212003",2872,470,642,35
"1212004",2873,781,1156,65
"1212005",2874,1414,1215,68
"1212006",2875,957,962,37
"1212007",2876,723,1312,39
"1212008",2877,869,1117,53
"1212009",2878,696,707,43
"1212010",2879,1266,1210,70
"1212011",2880,842,944,65
"1212012",2881,791,370,19
"1212013",2882,587,466,34
"1212014",2883,985,699,42
"1212015A",2884,1102,1046,53
"1212015B",2885,0,0,0
"1212016",2886,1009,1064,46
"1212017",2887,1832,1154,71
"1212018",2888,635,960,66
"1212019",2889,0,0,0
"1212020",2890,1813,954,43
"1212021",2891,1024,1081,56
"1212022",2892,1010,660,50
"1212023",2893,1057,1027,55
"1212024",2894,597,536,55
"1212025",2895,651,511,53
"1212026",2896,1252,831,62
"1212027",2897,1229,819,44
"1212028",2898,918,1081,57
"1212029",2899,601,616,31
"1212030",2900,1261,1448,75
"1212031",2901,994,1036,57
"1212032",2902,700,671,43
"1212033",2903,681,1000,44
"1212034",2904,439,751,20
"1212035",2905,777,836,37
"1212036",2906,285,180,13
"1212096",2907,0,0,0
"1212097",2908,0,0,0
"1212098",2909,0,0,0
"1212099",2910,0,0,0
"1213000",2911,1418,890,82
"1213001",2912,1398,615,68
"1213002",2913,1939,918,76
"1213003",2914,1017,570,41
"1213004",2915,1379,623,46
"1213005",2916,950,403,31
"1213006",2917,1285,947,67
"1213007",2918,1113,1224,68
"1213008",2919,1044,687,53
"1213009",2920,827,632,47
"1213010",2921,1158,1200,74
"1213011",2922,872,1268,69
"1213012",2923,566,489,38
"1213013",2924,775,677,32
"1213014",2925,612,606,36
"1213015",2926,540,707,35
"1213016",2927,356,654,32
"1213017",2928,424,1139,63
"1213018",2929,250,311,28
"1213019",2930,915,1439,46
"1213020",2931,116,197,12
"1213021",2932,1184,1169,58
"1213022",2933,75,52,4
"1213023",2934,144,113,5
"1213024",2935,1190,782,41
"1213025",2936,1484,891,71
"1213026",2937,947,632,36
"1213027",2938,1628,1016,68
"1213028",2939,1604,987,85
"1213029",2940,828,615,61
"1213030",2941,963,552,49
"1213031",2942,1305,732,60
"1213032",2943,282,598,23
"1213033",2944,844,495,35
"1213098",2945,0,0,0
"1213099",2946,0,0,0
"1214000",2947,1847,580,71
"1214001",2948,654,206,15
"1214002",2949,1689,409,48
"1214003",2950,2499,747,36
"1214004",2951,198,904,46
"1214005",2952,718,814,54
"1214006",2953,497,937,65
"1214007",2954,422,1191,66
"1214008",2955,236,747,40
"1214009",2956,486,1420,79
"1214010",2957,429,654,32
"1214011",2958,713,1858,81
"1214012",2959,786,654,36
"1214013",2960,44,175,9
"1214014",2961,111,841,39
"1214015",2962,116,281,9
"1214016",2963,1,1,0
"1214017",2964,2139,509,58
"1214018",2965,863,319,28
"1214019",2966,88,36,4
"1214020",2967,502,145,14
"1214021",2968,913,212,19
"1214022",2969,1278,410,31
"1214023A",2970,1454,572,50
"1214023B",2971,0,0,0
"1214024",2972,1292,650,57
"1214025",2973,1255,878,44
"1214026",2974,564,435,23
"1214027",2975,1432,960,55
"1214028",2976,1943,703,64
"1214029",2977,391,132,17
"1214030",2978,209,88,4
"1214031",2979,1989,699,63
"1214032",2980,2250,914,69
"1214033",2981,1026,436,39
"1214034",2982,1440,733,81
"1214035",2983,1756,685,65
"1214036",2984,1468,342,47
"1214037",2985,346,761,52
"1214038",2986,118,54,2
"1214039",2987,146,1010,51
"1214040",2988,346,426,24
"1214041",2989,529,602,37
"1214042",2990,15,6,0
"1214043",2991,1186,445,36
"1214044",2992,1464,544,54
"1214045",2993,348,2078,85
"1214046",2994,1637,691,54
"1214047",2995,819,417,32
"1214048",2996,1511,681,49
"1214049",2997,776,201,36
"1230101",2998,666,129,10
"1230102",2999,142,223,7
"1230201",3000,228,33,4
"1230202",3001,464,102,9
"1230203",3002,439,66,4
"1230301",3003,660,96,10
"1230302",3004,494,105,6
"1230303",3005,183,47,9
"1230401",3006,959,245,13
"1230402",3007,612,71,18
"1250001",3008,59,11,1
"1250002",3009,52,9,1
"1250003A",3010,46,4,0
"1250003B",3011,22,3,0
"1250003C",3012,105,15,0
"1250004A",3013,83,21,0
"1250004B",3014,4,1,0
"1250005",3015,114,11,0
"1250006",3016,153,33,2
"1270001",3017,223,429,27
"1270002",3018,150,485,17
"1270003",3019,52,126,2
"1270004",3020,27,32,1
"1270005",3021,72,365,7
"1270006",3022,123,287,8
"1270007",3023,71,182,5
"1290101",3024,118,12,2
"1290102",3025,165,25,4
"1290201",3026,335,60,7
"1290301",3027,107,1,3
"1290303",3028,136,23,4
"1290401",3029,216,35,5
"1310001",3030,162,684,27
"1310002",3031,116,537,12
"1310003",3032,50,220,0
"1310004",3033,34,53,1
"1310005",3034,43,144,8
"1310006",3035,13,57,1
"1310007",3036,39,28,3
"1310008",3037,386,574,36
"1310009",3038,92,436,15
"1330001",3039,1238,179,13
"1330002",3040,164,27,2
"1330003",3041,604,126,16
"1330004",3042,178,18,3
"1330005",3043,283,48,4
"1330006",3044,180,23,3
"1330007",3045,1036,121,15
"1330008",3046,1282,216,24
"1330009",3047,317,35,4
"1350101",3048,1167,454,42
"1350102",3049,666,372,29
"1350103",3050,402,163,16
"1350104",3051,89,27,4
"1350106",3052,475,153,9
"1350107",3053,326,67,13
"1350108",3054,993,229,22
"1350109",3055,94,17,6
"1350110",3056,1307,441,34
"1350111",3057,148,94,9
"1350201",3058,2709,569,90
"1350202",3059,1229,286,28
"1350203",3060,1156,297,29
"1350204",3061,584,178,17
"1350205",3062,779,216,32
"1350206",3063,323,51,10
"1350207",3064,896,87,20
"1350208",3065,1487,418,51
"1350209",3066,414,151,10
"1350301",3067,605,407,29
"1350302",3068,287,155,9
"1350303",3069,414,243,21
"1350304",3070,96,83,4
"1350305",3071,73,95,8
"1350306",3072,198,169,8
"1350307",3073,444,297,20
